date,unit_nav,accum_nav
2022-11-03 16:00:00,1.0,0.0
2022-11-09 16:00:00,0.9926,0.0
2022-11-10 16:00:00,1.0013,0.88
2022-11-13 16:00:00,0.9904,-1.09
2022-11-14 16:00:00,1.0057,1.54
2022-11-15 16:00:00,1.0075,0.18
2022-11-16 16:00:00,1.001,-0.65
2022-11-17 16:00:00,1.0004,-0.06
2022-11-20 16:00:00,1.0037,0.33
2022-11-21 16:00:00,1.006,0.23
2022-11-22 16:00:00,1.0195,1.34
2022-11-23 16:00:00,1.0183,-0.12
2022-11-24 16:00:00,1.0216,0.32
2022-11-27 16:00:00,1.0264,0.47
2022-11-28 16:00:00,1.0226,-0.37
2022-11-29 16:00:00,1.025,0.23
2022-11-30 16:00:00,1.0233,-0.17
2022-12-01 16:00:00,1.0257,0.23
2022-12-04 16:00:00,1.0363,1.03
2022-12-05 16:00:00,1.025,-1.09
2022-12-06 16:00:00,1.0146,-1.01
2022-12-07 16:00:00,1.0096,-0.49
2022-12-08 16:00:00,1.0016,-0.79
2022-12-11 16:00:00,0.9872,-1.44
2022-12-12 16:00:00,0.9875,0.03
2022-12-13 16:00:00,0.9836,-0.39
2022-12-14 16:00:00,0.9851,0.15
2022-12-15 16:00:00,0.9857,0.06
2022-12-18 16:00:00,0.9654,-2.06
2022-12-19 16:00:00,0.9685,0.32
2022-12-20 16:00:00,0.9604,-0.84
2022-12-21 16:00:00,0.9471,-1.38
2022-12-22 16:00:00,0.9467,-0.04
2022-12-25 16:00:00,0.9612,1.53
2022-12-26 16:00:00,0.967,0.6
2022-12-27 16:00:00,0.9874,2.11
2022-12-28 16:00:00,0.9797,-0.78
2022-12-29 16:00:00,0.9897,1.02
2022-12-30 16:00:00,0.9895,-0.02
2023-01-02 16:00:00,1.0081,1.86
2023-01-03 16:00:00,1.0054,-0.27
2023-01-04 16:00:00,1.0084,0.3
2023-01-05 16:00:00,1.0144,0.6
2023-01-08 16:00:00,1.0048,-0.95
2023-01-09 16:00:00,0.9992,-0.56
2023-01-10 16:00:00,0.9917,-0.75
2023-01-11 16:00:00,0.9926,0.09
2023-01-12 16:00:00,0.9912,-0.14
2023-01-15 16:00:00,0.9956,0.44
2023-01-16 16:00:00,0.9917,-0.39
2023-01-17 16:00:00,0.9929,0.12
2023-01-18 16:00:00,0.9888,-0.41
2023-01-19 16:00:00,1.0014,1.27
2023-01-29 16:00:00,0.9976,-0.38
2023-01-30 16:00:00,0.9999,0.23
2023-01-31 16:00:00,1.0061,0.62
2023-02-01 16:00:00,1.0041,-0.2
2023-02-02 16:00:00,0.9985,-0.56
2023-02-05 16:00:00,0.9997,0.12
2023-02-06 16:00:00,1.0074,0.77
2023-02-07 16:00:00,1.0057,-0.17
2023-02-08 16:00:00,1.0106,0.49
2023-02-09 16:00:00,1.0138,0.32
2023-02-12 16:00:00,1.0109,-0.29
2023-02-13 16:00:00,1.0138,0.29
2023-02-14 16:00:00,1.0086,-0.51
2023-02-15 16:00:00,0.9924,-1.61
2023-02-16 16:00:00,0.9863,-0.61
2023-02-19 16:00:00,0.9956,0.94
2023-02-20 16:00:00,1.0015,0.59
2023-02-21 16:00:00,0.998,-0.35
2023-02-22 16:00:00,0.996,-0.2
2023-02-23 16:00:00,0.9933,-0.27
2023-02-26 16:00:00,0.993,-0.03
2023-02-27 16:00:00,1.0016,0.87
2023-02-28 16:00:00,1.0075,0.59
2023-03-01 16:00:00,1.0085,0.1
2023-03-02 16:00:00,1.0167,0.81
2023-03-05 16:00:00,1.0191,0.24
2023-03-06 16:00:00,1.0107,-0.82
2023-03-07 16:00:00,1.0085,-0.22
2023-03-08 16:00:00,1.0047,-0.38
2023-03-09 16:00:00,0.9963,-0.84
2023-03-12 16:00:00,1.0007,0.44
2023-03-13 16:00:00,1.0004,-0.03
2023-03-14 16:00:00,1.0107,1.03
2023-03-15 16:00:00,0.9989,-1.17
2023-03-16 16:00:00,1.002,0.31
2023-03-19 16:00:00,0.995,-0.7
2023-03-20 16:00:00,0.9956,0.06
2023-03-21 16:00:00,0.9979,0.23
2023-03-22 16:00:00,0.9975,-0.04
2023-03-23 16:00:00,0.9935,-0.4
2023-03-26 16:00:00,0.9844,-0.92
2023-03-27 16:00:00,0.9803,-0.42
2023-03-28 16:00:00,0.9794,-0.09
2023-03-29 16:00:00,0.986,0.67
2023-03-30 16:00:00,0.9873,0.13
2023-04-02 16:00:00,0.9879,0.06
2023-04-03 16:00:00,0.9896,0.17
2023-04-05 16:00:00,0.9857,-0.39
2023-04-06 16:00:00,0.9873,0.16
2023-04-09 16:00:00,1.0011,1.4
2023-04-10 16:00:00,0.9983,-0.28
2023-04-11 16:00:00,0.9992,0.09
2023-04-12 16:00:00,1.0009,0.17
2023-04-13 16:00:00,1.0087,0.78
2023-04-16 16:00:00,1.0162,0.74
2023-04-17 16:00:00,1.0111,-0.5
2023-04-18 16:00:00,1.0075,-0.36
2023-04-19 16:00:00,1.0039,-0.36
2023-04-20 16:00:00,0.9904,-1.34
2023-04-23 16:00:00,0.9893,-0.11
2023-04-24 16:00:00,0.9844,-0.5
2023-04-25 16:00:00,0.9982,1.4
2023-04-26 16:00:00,1.0033,0.51
2023-04-27 16:00:00,1.0075,0.42
2023-05-03 16:00:00,1.0301,2.24
2023-05-04 16:00:00,1.0254,-0.46
2023-05-07 16:00:00,1.0356,0.99
2023-05-08 16:00:00,1.0267,-0.86
2023-05-09 16:00:00,1.0245,-0.21
2023-05-10 16:00:00,1.0353,1.05
2023-05-11 16:00:00,1.0376,0.22
2023-05-14 16:00:00,1.0362,-0.13
2023-05-15 16:00:00,1.035,-0.12
2023-05-16 16:00:00,1.0405,0.53
2023-05-17 16:00:00,1.0371,-0.33
2023-05-18 16:00:00,1.0253,-1.14
2023-05-21 16:00:00,1.0472,2.14
2023-05-22 16:00:00,1.0315,-1.5
2023-05-23 16:00:00,1.0232,-0.8
2023-05-24 16:00:00,1.0344,1.09
2023-05-25 16:00:00,1.0335,-0.09
2023-05-28 16:00:00,1.0503,1.63
2023-05-29 16:00:00,1.0488,-0.14
2023-05-30 16:00:00,1.0396,-0.88
2023-05-31 16:00:00,1.0299,-0.93
2023-06-01 16:00:00,1.0341,0.41
2023-06-04 16:00:00,1.033,-0.11
2023-06-05 16:00:00,1.0111,-2.12
2023-06-06 16:00:00,1.0071,-0.4
2023-06-07 16:00:00,1.0136,0.65
2023-06-08 16:00:00,1.0303,1.65
2023-06-11 16:00:00,1.015,-1.49
2023-06-12 16:00:00,1.0108,-0.41
2023-06-13 16:00:00,1.0008,-0.99
2023-06-14 16:00:00,1.0098,0.9
2023-06-15 16:00:00,1.0076,-0.22
2023-06-18 16:00:00,1.0099,0.23
2023-06-19 16:00:00,1.006,-0.39
2023-06-20 16:00:00,1.0056,-0.04
2023-06-25 16:00:00,1.0197,1.4
2023-06-26 16:00:00,1.0192,-0.05
2023-06-27 16:00:00,1.0355,1.6
2023-06-28 16:00:00,1.0297,-0.56
2023-06-29 16:00:00,1.0274,-0.22
2023-07-02 16:00:00,1.0362,0.86
2023-07-03 16:00:00,1.0293,-0.67
2023-07-04 16:00:00,1.0275,-0.17
2023-07-05 16:00:00,1.0257,-0.18
2023-07-06 16:00:00,1.0298,0.4
2023-07-09 16:00:00,1.0351,0.51
2023-07-10 16:00:00,1.0332,-0.18
2023-07-11 16:00:00,1.0306,-0.25
2023-07-12 16:00:00,1.036,0.52
2023-07-13 16:00:00,1.0293,-0.65
2023-07-16 16:00:00,1.0286,-0.07
2023-07-17 16:00:00,1.0231,-0.53
2023-07-18 16:00:00,1.0216,-0.15
2023-07-19 16:00:00,1.0132,-0.82
2023-07-20 16:00:00,1.0136,0.04
2023-07-23 16:00:00,1.014,0.04
2023-07-24 16:00:00,1.0124,-0.16
2023-07-25 16:00:00,1.0129,0.05
2023-07-26 16:00:00,1.0088,-0.4
2023-07-27 16:00:00,1.0156,0.67
2023-07-30 16:00:00,1.0227,0.7
2023-07-31 16:00:00,1.0329,1.0
2023-08-01 16:00:00,1.0256,-0.71
2023-08-02 16:00:00,1.0315,0.58
2023-08-03 16:00:00,1.0298,-0.16
2023-08-06 16:00:00,1.0318,0.19
2023-08-07 16:00:00,1.0282,-0.35
2023-08-08 16:00:00,1.0187,-0.92
2023-08-09 16:00:00,1.0229,0.41
2023-08-10 16:00:00,1.0068,-1.57
2023-08-13 16:00:00,1.0098,0.3
2023-08-14 16:00:00,1.0139,0.41
2023-08-15 16:00:00,1.0076,-0.62
2023-08-16 16:00:00,1.009,0.14
2023-08-17 16:00:00,1.004,-0.5
2023-08-20 16:00:00,0.9955,-0.85
2023-08-21 16:00:00,0.9949,-0.06
2023-08-22 16:00:00,0.9836,-1.14
2023-08-23 16:00:00,0.9734,-1.04
2023-08-24 16:00:00,0.9786,0.53
2023-08-27 16:00:00,0.9803,0.17
2023-08-28 16:00:00,0.9846,0.44
2023-08-29 16:00:00,0.9804,-0.43
2023-08-30 16:00:00,0.982,0.16
2023-08-31 16:00:00,0.9798,-0.22
